state,date,sex,ethnicity,abs,deaths_cleaned
Johor,1/1/2000,both,overall,12144,12144
Johor,1/1/2001,both,overall,12730,12730
Johor,1/1/2002,both,overall,13459,13459
Johor,1/1/2003,both,overall,13671,13671
Johor,1/1/2004,both,overall,13842,13842
Johor,1/1/2005,both,overall,14152,14152
Johor,1/1/2006,both,overall,14546,14546
Johor,1/1/2007,both,overall,15165,15165
Johor,1/1/2008,both,overall,15926,15926
Johor,1/1/2009,both,overall,15971,15971
Johor,1/1/2010,both,overall,16060,16060
Johor,1/1/2011,both,overall,16479,16479
Johor,1/1/2012,both,overall,17201,17201
Johor,1/1/2013,both,overall,17696,17696
Johor,1/1/2014,both,overall,17904,17904
Johor,1/1/2015,both,overall,18853,18853
Johor,1/1/2016,both,overall,19924,19924
Johor,1/1/2017,both,overall,20662,20662
Johor,1/1/2018,both,overall,21117,21117
Johor,1/1/2019,both,overall,21799,21799
Johor,1/1/2020,both,overall,20646,20646
Johor,1/1/2021,both,overall,26951,26951
Johor,1/1/2022,both,overall,25305,25305
Kedah,1/1/2000,both,overall,8982,8982
Kedah,1/1/2001,both,overall,9197,9197
Kedah,1/1/2002,both,overall,9925,9925
Kedah,1/1/2003,both,overall,10311,10311
Kedah,1/1/2004,both,overall,10095,10095
Kedah,1/1/2005,both,overall,10280,10280
Kedah,1/1/2006,both,overall,10698,10698
Kedah,1/1/2007,both,overall,10847,10847
Kedah,1/1/2008,both,overall,11071,11071
Kedah,1/1/2009,both,overall,11618,11618
Kedah,1/1/2010,both,overall,11674,11674
Kedah,1/1/2011,both,overall,11869,11869
Kedah,1/1/2012,both,overall,12268,12268
Kedah,1/1/2013,both,overall,12516,12516
Kedah,1/1/2014,both,overall,13017,13017
Kedah,1/1/2015,both,overall,13674,13674
Kedah,1/1/2016,both,overall,13771,13771
Kedah,1/1/2017,both,overall,14332,14332
Kedah,1/1/2018,both,overall,14552,14552
Kedah,1/1/2019,both,overall,14302,14302
Kedah,1/1/2020,both,overall,13671,13671
Kedah,1/1/2021,both,overall,18457,18457
Kedah,1/1/2022,both,overall,17628,17628
Kelantan,1/1/2000,both,overall,7620,7620
Kelantan,1/1/2001,both,overall,7797,7797
Kelantan,1/1/2002,both,overall,8330,8330
Kelantan,1/1/2003,both,overall,8614,8614
Kelantan,1/1/2004,both,overall,8547,8547
Kelantan,1/1/2005,both,overall,8834,8834
Kelantan,1/1/2006,both,overall,8940,8940
Kelantan,1/1/2007,both,overall,9186,9186
Kelantan,1/1/2008,both,overall,9694,9694
Kelantan,1/1/2009,both,overall,10114,10114
Kelantan,1/1/2010,both,overall,9798,9798
Kelantan,1/1/2011,both,overall,10024,10024
